# OrcaSlicer Recommendations - Common Issues
# Source: Research documents F0Q5PYLJMV0TH4G.md + 3DP-2018-2.md + Industry guides
# Purpose: Comprehensive defect taxonomy with 40+ defects for vision AI and troubleshooting

Issue_Type,Symptom,Likely_Cause,Slicer_Setting,Klipper_Setting,Mechanical_Fix,Notes,visual_markers,reference_image_url,severity,printer_dependency,skill_level_required,related_defects
Under_Extrusion,Gaps in walls,Flow rate too low,Increase flow rate 2-5%,Calibrate rotation distance,Check for clog,"Also check filament diameter","Gaps;thin infill lines;weak top layers",,High,Generic,Beginner,"Holes_Top_Layers,Weak_Infill,Layer_Separation"
Under_Extrusion,Thin or missing walls,Incorrect filament diameter,Measure filament; update slicer,Recalibrate e-steps,Verify 1.75mm ±0.05mm,"Measure 5+ spots along filament","Inconsistent extrusion;weak walls",,High,Generic,Beginner,"Inconsistent_Extrusion"
Over_Extrusion,Blobs and zits,Flow rate too high,Decrease flow rate 2-5%,Recalibrate e-steps,Check nozzle wear,"Elephant foot on first layer","Blobs;zits;elephant foot;bulges",,Medium,Generic,Beginner,"Stringing,Elephant_Foot,Blobs_Zits"
Holes_Top_Layers,Gaps or holes on top surface,Not enough top layers,Increase top solid layers to 5-6,N/A,N/A,"Add 0.5mm top thickness","Visible gaps;infill showing through",,Medium,Generic,Beginner,"Under_Extrusion,Weak_Infill"
Holes_Top_Layers,Gaps in top surface,Infill density too low,Increase infill to 20-30%,N/A,N/A,"Higher infill = stronger top","Infill visible;sagging top",,Medium,Generic,Beginner,"Weak_Infill"
Holes_Top_Layers,Incomplete top layers,Under-extrusion,Increase flow rate 2-5%,Calibrate rotation distance,Check for partial clog,"See Under_Extrusion section","Thin patches;incomplete coverage",,Medium,Generic,Beginner,"Under_Extrusion"
Stringing,Thin strings between parts,Retraction insufficient,Increase retraction 0.5-6.5mm,Enable firmware retraction,Check hotend assembly,"Bowden: 4-6mm; Direct: 0.5-2mm","Fine hairs;spider webs;ooze trails",,Medium,Bowden,Beginner,"Over_Extrusion,Oozing"
Stringing,Plastic threads,Retraction speed too slow,Increase retraction speed 20-70mm/s,N/A,N/A,"Start 40mm/s; adjust by 10mm/s","Thin strings;nozzle drool",,Medium,Generic,Beginner,"Oozing"
Stringing,Oozing between travels,Temperature too high,Lower nozzle temp 5-10°C,N/A,N/A,"PLA: 190-210°C typical","Strings;blobs at travel starts",,Medium,Generic,Beginner,"Overheating"
Overheating,Drooping or melting features,Insufficient cooling,Increase fan to 100%,N/A,Check fan operation,"Small parts suffer most","Sagging overhangs;melted details",,Medium,Generic,Beginner,"Poor_Bridging,Curling_Corners"
Overheating,Soft/deformed features,Temperature too high,Lower nozzle temp 5-10°C,N/A,N/A,"Try 5°C increments","Blobbing;loss of detail",,Medium,Generic,Beginner,"Stringing"
Overheating,Melted small features,Print speed too fast,Reduce speed to 40-60mm/s,N/A,N/A,"Slow gives cooling time","Small parts merge;loss of detail",,Medium,Generic,Beginner,"Curling_Corners"
Overheating,Heat accumulation,Single part print,Print multiple parts,N/A,N/A,"Allows per-part cooling time","Top of tall thin parts melts",,Low,Generic,Intermediate,"N/A"
Layer_Shift,Misaligned layers,Speed/acceleration too high,Reduce speed to 40-60mm/s,Reduce max_accel to 1000,Tighten belts,"Check belt tension = 110Hz","Steps in walls;abrupt horizontal offset",,High,Generic,Intermediate,"Ringing,Vibrations"
Layer_Shift,Shifted layers,Mechanical issues,Reduce accel/jerk,Check motor current,Tighten pulleys; check grub screws,"Electrical interference possible","Sudden offset;misalignment",,High,Generic,Advanced,"Vibrations"
Layer_Separation,Layers splitting,Layer height too large,Reduce layer height to 50-75% nozzle,N/A,N/A,"0.4mm nozzle: use 0.2-0.3mm layers","Horizontal cracks;weak bond;delamination",,High,Generic,Intermediate,"Under_Extrusion,Warping"
Layer_Separation,Weak layer bonding,Temperature too low,Increase nozzle temp 5-10°C,N/A,Reduce cooling fan,"PLA: 200-220°C; PETG: 230-250°C","Layers peel apart;split under stress",,High,Generic,Intermediate,"Under_Extrusion"
Grinding_Filament,Drive gear chewing filament,Extruder temp too low,N/A,Increase nozzle temp 5-10°C,N/A,"Increase by 5°C increments","Plastic shavings;stripped section",,High,Generic,Intermediate,"Clogged_Extruder,Under_Extrusion"
Grinding_Filament,Stripped filament,Print speed too fast,Reduce print speed 20-50%,N/A,Reduce extruder tension,"Extruder can't keep up","Ground flat spot;no grip",,High,Generic,Intermediate,"Under_Extrusion"
Grinding_Filament,Filament grinding,Partial nozzle clog,N/A,N/A,Check for clog; cold pull,"Backpressure causes grinding","Shavings;inconsistent flow",,High,Generic,Advanced,"Clogged_Extruder"
Clogged_Extruder,No extrusion,Debris or burnt plastic,N/A,Heat to 200°C,Cold pull or drill cleaning,"Use acetone soak or high-temp burn","No flow;pressure buildup;clicking",,High,Generic,Advanced,"Not_Extruding_Start,Grinding_Filament"
Clogged_Extruder,Partial blockage,Thermal creep,N/A,Check hotend cooling,Verify heatsink fan operation,"Filament softens above melt zone","Weak flow;intermittent extrusion",,High,Generic,Advanced,"Under_Extrusion"
Stops_Extruding_Mid,Extrusion stops mid-print,Out of filament,N/A,Add filament runout sensor,Load new filament,"Check spool before printing","Print incomplete;sudden stop",,Critical,Generic,Beginner,"N/A"
Stops_Extruding_Mid,Mid-print failure,Stripped filament,N/A,Reduce retraction,Reduce extruder tension,"See Grinding_Filament","Ground spot;no movement",,Critical,Generic,Intermediate,"Grinding_Filament"
Stops_Extruding_Mid,Extrusion stops,Clogged extruder,N/A,Heat to 200°C,Clean nozzle; cold pull,"See Clogged_Extruder section","Sudden stop;clicking extruder",,Critical,Generic,Advanced,"Clogged_Extruder"
Stops_Extruding_Mid,Extruder stops working,Overheated motor driver,N/A,Add cooling; reduce current,Check stepper driver heatsink,"Add fan to control board","Motor skips;stops responding",,Critical,Generic,Advanced,"N/A"
Weak_Infill,Sparse or weak infill,Infill density too low,Increase infill to 30-50%,N/A,N/A,"Trade speed for strength","Visible gaps;fragile print",,Medium,Generic,Beginner,"Holes_Top_Layers"
Weak_Infill,Inconsistent infill,Print speed too high,Reduce infill speed to 80%,N/A,N/A,"Slower = better bonding","Weak spots;gaps in infill",,Medium,Generic,Beginner,"Under_Extrusion"
Curling_Corners,Curled or rough corners,Overheating,Increase cooling to 100%,N/A,N/A,"Especially on small features","Lifted edges;rough surface",,Medium,Generic,Beginner,"Overheating"
Scars_Top_Surface,Marks on top surface,Over-extrusion,Reduce flow rate 2-5%,N/A,N/A,"See Over_Extrusion section","Bumps;scratches;nozzle marks",,Low,Generic,Beginner,"Over_Extrusion"
Gaps_Floor_Corners,Gaps in bottom corners,Not enough perimeters,Increase perimeters to 3-4,N/A,N/A,"More walls = stronger print","Visible gaps at edges",,Medium,Generic,Beginner,"Holes_Top_Layers"
Gaps_Floor_Corners,Bottom corner gaps,Not enough bottom layers,Increase bottom layers to 5-6,N/A,N/A,"Match top layer count","Infill visible from bottom",,Medium,Generic,Beginner,"Holes_Top_Layers"
Gaps_Floor_Corners,Floor corner voids,Infill too low,Increase infill to 20-30%,N/A,N/A,"Higher infill supports floor","Weak bottom;sagging",,Medium,Generic,Beginner,"Weak_Infill"
Lines_Side,Vertical lines on walls,Inconsistent extrusion,Check filament quality,Calibrate rotation distance,Check extruder gear,"Poor filament diameter tolerance","Vertical stripes;ridges;bands",,Medium,Generic,Intermediate,"Inconsistent_Extrusion"
Lines_Side,Wall artifacts,Temperature variation,Use PID tuning,Enable PID autotune,N/A,"Stable temp = smooth walls","Random lines;texture changes",,Medium,Generic,Advanced,"Inconsistent_Extrusion"
Lines_Side,Side wall defects,Mechanical issues,N/A,N/A,Check Z-axis; tighten frame,"Wobble or binding in Z","Regular patterns;waves",,Medium,Generic,Advanced,"Vibrations"
Vibrations_Ringing,Ghosting or echoes,Print speed too high,Reduce speed to 40-60mm/s,N/A,N/A,"Slow down on outer walls","Echo waves near corners;ripples",,Medium,Generic,Beginner,"Layer_Shift"
Vibrations_Ringing,Ringing artifacts,Firmware acceleration too high,N/A,Reduce max_accel to 1000-1500,N/A,"Use input shaping if available","Vertical waves;oscillations",,Medium,Generic,Intermediate,"Layer_Shift"
Vibrations_Ringing,Frame vibrations,Loose frame,N/A,N/A,Tighten all bolts; add braces,"Place on stable surface","Ripples;consistent wave pattern",,Medium,Generic,Advanced,"Lines_Side"
Small_Features_Missing,Tiny features not printed,Feature too small for nozzle,Redesign with 2x nozzle width,N/A,N/A,"0.4mm nozzle: min 0.8mm feature","Missing details;merged features",,Low,Generic,Intermediate,"N/A"
Small_Features_Missing,Details missing,Wrong nozzle size,N/A,N/A,Install 0.2mm or 0.3mm nozzle,"Smaller nozzle = finer detail","Missing text;lost geometry",,Low,Generic,Advanced,"N/A"
Small_Features_Missing,Slicer skipping features,Feature below threshold,Force extrusion; adjust slicer,N/A,N/A,"Check slicer minimum feature size","Gaps where features should be",,Low,Generic,Intermediate,"N/A"
Inconsistent_Extrusion,Variable extrusion,Filament tangled or stuck,N/A,Add filament guide,Check spool rotation,"Use spool holder; untangle","Thick/thin sections;blobs+gaps",,High,Generic,Beginner,"Lines_Side"
Inconsistent_Extrusion,Extrusion varies,Clogged extruder,N/A,Heat to 200°C,Clean nozzle; cold pull,"See Clogged_Extruder section","Random under/over extrusion",,High,Generic,Advanced,"Clogged_Extruder"
Inconsistent_Extrusion,Irregular flow,Layer height too low,Increase layer height to 0.15-0.2mm,N/A,N/A,"Too low causes backpressure","Weak spots;skipped sections",,Medium,Generic,Intermediate,"Under_Extrusion"
Inconsistent_Extrusion,Flow problems,Poor quality filament,N/A,N/A,Use quality filament; measure diameter,"Diameter should be ±0.05mm","Variable width;blobs and gaps",,Medium,Generic,Beginner,"Lines_Side"
Inconsistent_Extrusion,Extrusion issues,Extruder mechanical problems,N/A,N/A,Check extruder gear; tighten idler,"Inspect for cracks in extruder","Clicking;grinding;irregular flow",,High,Generic,Advanced,"Grinding_Filament"
Warping,Corners lifting from bed,Poor adhesion or thermal stress,Increase bed temp 5°C; add brim,N/A,Level bed; use enclosure,"ABS/ASA needs enclosure","Lifted corners;bent edges;curling",,High,Generic,Beginner,"Edge_Bending,Not_Sticking_Bed"
Edge_Bending,Print edges curl up,Thermal contraction,Add brim; increase bed temp,N/A,Use enclosure for ABS,"Reduce cooling for first layers","Upward curl at edges",,Medium,Generic,Beginner,"Warping"
Elephant_Foot,Bottom layer bulge,Nozzle too close or over-extrusion,Raise Z-offset 0.05mm; reduce flow,Adjust Z-offset,Level bed properly,"First layer should be slightly squished","Bulge at base;wider bottom",,Medium,Generic,Beginner,"Over_Extrusion"
Poor_Bridging,Sagging bridges,Cooling insufficient,Increase fan to 100%; reduce speed,N/A,N/A,"Bridge speed 50% of normal","Sagging strands;droop under spans",,Low,Generic,Beginner,"Stringing,Overheating"
Blobs_Zits,Surface blobs,Retraction or coasting issue,Enable coasting 0.2-0.5mm,Tune pressure advance,N/A,"Adjust retraction settings","Raised bumps;blobs on surface",,Low,Generic,Intermediate,"Over_Extrusion"
Pillowing,Bumpy top surface,Insufficient top layers or cooling,Increase top layers 5-6; max cooling,N/A,N/A,"More solid layers bridge better","Bumpy or wavy top;gaps",,Medium,Generic,Beginner,"Holes_Top_Layers"
Z_Wobble,Regular vertical bands,Loose Z-axis components,N/A,N/A,Tighten Z couplers; check lead screw alignment,"Z wobble = regular wave pattern","Vertical waves;repeating pattern",,Medium,Generic,Advanced,"Lines_Side,Vibrations_Ringing"
Seam_Alignment,Visible Z-seam line,Seam not hidden,Align seam to corner or hide,N/A,N/A,"Use 'Aligned' or 'Hidden' seam placement","Vertical line where layers start",,Low,Generic,Beginner,"Blobs_Zits"
Nozzle_Leaking,Oozing during heating,Worn or damaged nozzle,N/A,N/A,Replace nozzle or tighten against heatbreak,"Check nozzle-heatbreak seal","Plastic dripping before print starts",,Medium,Generic,Intermediate,"Stringing"
Support_Scarring,Marks where supports attached,Support density too high,Reduce support density 10-15%,N/A,Use break-away or soluble supports,"Tree supports gentler than grid","Rough patches;hard to remove marks",,Low,Generic,Beginner,"Scars_Top_Surface"
Banding,Horizontal bands across print,Inconsistent extrusion or Z-axis,Check filament quality; verify Z-axis,Enable Z-hop,Check lead screw for dirt/damage,"Banding = repeated horizontal lines","Horizontal lines;layered appearance",,Medium,Generic,Intermediate,"Lines_Side,Inconsistent_Extrusion"
